wavelength_muv calibration_curve solar_continuum co_cameron co2_uvd o_2972 no_nightglow
1.904130278373751821e+02 6.402447988045785725e-04 2.826043404638767242e-03 6.837359070777893066e-02 0.000000000000000000e+00 0.000000000000000000e+00 4.423162043094635010e-01
1.910744278472308224e+02 6.258113425909280544e-04 3.737139049917459488e-03 6.292212754487991333e-02 0.000000000000000000e+00 0.000000000000000000e+00 5.008196234703063965e-01
1.917358278570864627e+02 6.136419133724446825e-04 4.957594908773899078e-03 6.857521086931228638e-02 0.000000000000000000e+00 0.000000000000000000e+00 1.545391678810119629e-01
1.923972278669420746e+02 6.061232980634236305e-04 4.811721388250589371e-03 1.746862679719924927e-01 0.000000000000000000e+00 0.000000000000000000e+00 3.021413460373878479e-02
1.930586278767977149e+02 5.999693499701435782e-04 6.133899092674255371e-03 2.472317069768905640e-01 0.000000000000000000e+00 0.000000000000000000e+00 2.219292521476745605e-02
1.937200278866533267e+02 5.914586663025441730e-04 8.186330087482929230e-03 1.614323705434799194e-01 0.000000000000000000e+00 0.000000000000000000e+00 2.795205265283584595e-02
1.943814278965089670e+02 5.800772817920555333e-04 9.328374639153480530e-03 1.553618311882019043e-01 0.000000000000000000e+00 0.000000000000000000e+00 3.148069232702255249e-02
1.950428279063645789e+02 5.708027235525879898e-04 1.052934583276510239e-02 1.455524414777755737e-01 0.000000000000000000e+00 0.000000000000000000e+00 4.080373421311378479e-02
1.957042279162202192e+02 5.648122479148515564e-04 1.320289541035890579e-02 1.059552803635597229e-01 0.000000000000000000e+00 0.000000000000000000e+00 7.267265021800994873e-02
1.963656279260758311e+02 5.590435702264468518e-04 1.470883190631866455e-02 1.002655178308486938e-01 0.000000000000000000e+00 0.000000000000000000e+00 7.806575298309326172e-02
1.970270279359314713e+02 5.515997118784530520e-04 1.576394028961658478e-02 9.141495078802108765e-02 0.000000000000000000e+00 0.000000000000000000e+00 2.453648895025253296e-01
1.976884279457871116e+02 5.434296392863828410e-04 1.776119507849216461e-02 8.497081696987152100e-02 0.000000000000000000e+00 0.000000000000000000e+00 8.297781944274902344e-01
1.983498279556427235e+02 5.346109145215897831e-04 1.895467191934585571e-02 1.486150771379470825e-01 0.000000000000000000e+00 0.000000000000000000e+00 9.791532158851623535e-01
1.990112279654983638e+02 5.260534572425550840e-04 2.087227441370487213e-02 4.724546074867248535e-01 0.000000000000000000e+00 0.000000000000000000e+00 3.578362166881561279e-01
1.996726279753539757e+02 5.198910824820447132e-04 2.302925288677215576e-02 5.875331759452819824e-01 0.000000000000000000e+00 0.000000000000000000e+00 9.548688679933547974e-02
2.003340279852096160e+02 5.142832955081833891e-04 2.566699497401714325e-02 3.642216622829437256e-01 0.000000000000000000e+00 0.000000000000000000e+00 3.828973695635795593e-02
2.009954279950652563e+02 5.066069448440173100e-04 2.886861935257911682e-02 3.044268786907196045e-01 0.000000000000000000e+00 0.000000000000000000e+00 3.762285038828849792e-02
2.016568280049208681e+02 4.997114498788720162e-04 3.010557778179645538e-02 2.518109381198883057e-01 0.000000000000000000e+00 0.000000000000000000e+00 5.033301934599876404e-02
2.023182280147765084e+02 4.916485672297055002e-04 3.180058673024177551e-02 1.948681920766830444e-01 0.000000000000000000e+00 0.000000000000000000e+00 7.031117379665374756e-02
2.029796280246321203e+02 4.849699158767598202e-04 3.468866273760795593e-02 1.566592007875442505e-01 0.000000000000000000e+00 0.000000000000000000e+00 6.673005968332290649e-02
2.036410280344877606e+02 4.791697905156598689e-04 3.828601166605949402e-02 1.261755675077438354e-01 0.000000000000000000e+00 0.000000000000000000e+00 5.106541886925697327e-02
2.043024280443433724e+02 4.722503601886019397e-04 4.074110463261604309e-02 1.195857822895050049e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.359619200229644775e-01
2.049638280541990127e+02 4.647336349494903896e-04 4.239964485168457031e-02 1.437002420425415039e-01 0.000000000000000000e+00 0.000000000000000000e+00 4.502600133419036865e-01
2.056252280640546246e+02 4.567188690632197718e-04 4.366948828101158142e-02 2.987512648105621338e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
2.062866280739102649e+02 4.488822756492404694e-04 4.683123901486396790e-02 7.321137189865112305e-01 0.000000000000000000e+00 0.000000000000000000e+00 8.266005516052246094e-01
2.069480280837659052e+02 4.401242386017000462e-04 5.286049470305442810e-02 6.763208508491516113e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.990085989236831665e-01
2.076094280936215171e+02 4.330862674135273638e-04 5.836523696780204773e-02 4.092707335948944092e-01 0.000000000000000000e+00 0.000000000000000000e+00 8.294276148080825806e-02
2.082708281034771574e+02 4.264747745383374753e-04 6.645725667476654053e-02 3.071884512901306152e-01 0.000000000000000000e+00 0.000000000000000000e+00 4.614773392677307129e-02
2.089322281133327692e+02 4.183430822312811403e-04 8.182834833860397339e-02 2.569157183170318604e-01 0.000000000000000000e+00 0.000000000000000000e+00 4.864902421832084656e-02
2.095936281231884095e+02 4.107417883670673236e-04 1.004717126488685608e-01 2.715394496917724609e-01 0.000000000000000000e+00 0.000000000000000000e+00 2.769660577178001404e-02
2.102550281330440498e+02 4.034655772676108698e-04 1.180096343159675598e-01 3.147319257259368896e-01 0.000000000000000000e+00 0.000000000000000000e+00 4.077558591961860657e-02
2.109164281428996617e+02 3.961415874919012379e-04 1.315181106328964233e-01 2.417695075273513794e-01 0.000000000000000000e+00 0.000000000000000000e+00 4.476565867662429810e-02
2.115778281527553020e+02 3.899440065868902999e-04 1.483759582042694092e-01 1.996371597051620483e-01 0.000000000000000000e+00 0.000000000000000000e+00 3.941521793603897095e-02
2.122392281626109138e+02 3.845910881017696316e-04 1.434785425662994385e-01 1.945213079452514648e-01 0.000000000000000000e+00 0.000000000000000000e+00 7.890962809324264526e-02
2.129006281724665541e+02 3.785598186655444726e-04 1.400771886110305786e-01 1.531180143356323242e-01 0.000000000000000000e+00 0.000000000000000000e+00 2.440519630908966064e-01
